Well 	Assay 	Well Type 	Replicate 	Threshold (dRn) 	Ct (dRn) 	Quantity (copies) 	RSq (dRn) 	Slope (dRn) 	
 B10 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,50 	       1,021e+004 	    0,997 	     -3,338 	
 B11 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,64 	       9,293e+003 	    0,997 	     -3,338 	
 B12 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,64 	       9,273e+003 	    0,997 	     -3,338 	
  C1 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,39 	       1,100e+004 	    0,997 	     -3,338 	
  C2 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,50 	       1,020e+004 	    0,997 	     -3,338 	
  C3 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,67 	       9,125e+003 	    0,997 	     -3,338 	
  C4 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,53 	       9,990e+003 	    0,997 	     -3,338 	
  C5 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,56 	       9,818e+003 	    0,997 	     -3,338 	
  C6 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,76 	       8,572e+003 	    0,997 	     -3,338 	
  C7 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,60 	       9,521e+003 	    0,997 	     -3,338 	
  C8 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,51 	       1,015e+004 	    0,997 	     -3,338 	
  C9 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,65 	       9,203e+003 	    0,997 	     -3,338 	
 C10 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,60 	       9,515e+003 	    0,997 	     -3,338 	
 C11 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,59 	       9,632e+003 	    0,997 	     -3,338 	
 C12 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,73 	       8,707e+003 	    0,997 	     -3,338 	
  D1 	 SYBR 	      NTC 	        2 	         0,0044 	   No Ct 	            No Ct 	    0,997 	     -3,338 	
  D2 	 SYBR 	      NTC 	        2 	         0,0044 	   No Ct 	            No Ct 	    0,997 	     -3,338 	
  D3 	 SYBR 	      NTC 	        2 	         0,0044 	   No Ct 	            No Ct 	    0,997 	     -3,338 	
  D4 	 SYBR 	      NTC 	        2 	         0,0044 	   No Ct 	            No Ct 	    0,997 	     -3,338 	
  D5 	 SYBR 	 Standard 	        3 	         0,0044 	   23,85 	        1,00e+003 	    0,997 	     -3,338 	
  D6 	 SYBR 	 Standard 	        3 	         0,0044 	   23,92 	        1,00e+003 	    0,997 	     -3,338 	
  D7 	 SYBR 	 Standard 	        3 	         0,0044 	   23,87 	        1,00e+003 	    0,997 	     -3,338 	
  D8 	 SYBR 	 Standard 	        3 	         0,0044 	   24,06 	        1,00e+003 	    0,997 	     -3,338 	
  D9 	 SYBR 	 Standard 	        4 	         0,0044 	   22,88 	        2,00e+003 	    0,997 	     -3,338 	
 D10 	 SYBR 	 Standard 	        4 	         0,0044 	   22,75 	        2,00e+003 	    0,997 	     -3,338 	
 D11 	 SYBR 	 Standard 	        4 	         0,0044 	   22,78 	        2,00e+003 	    0,997 	     -3,338 	
 D12 	 SYBR 	 Standard 	        4 	         0,0044 	   23,01 	        2,00e+003 	    0,997 	     -3,338 	
  E1 	 SYBR 	 Standard 	        5 	         0,0044 	   21,51 	        5,00e+003 	    0,997 	     -3,338 	
  E2 	 SYBR 	 Standard 	        5 	         0,0044 	   21,39 	        5,00e+003 	    0,997 	     -3,338 	
  E3 	 SYBR 	 Standard 	        5 	         0,0044 	   21,42 	        5,00e+003 	    0,997 	     -3,338 	
  E4 	 SYBR 	 Standard 	        5 	         0,0044 	   21,48 	        5,00e+003 	    0,997 	     -3,338 	
  E5 	 SYBR 	 Standard 	        6 	         0,0044 	   20,49 	        1,00e+004 	    0,997 	     -3,338 	
  E6 	 SYBR 	 Standard 	        6 	         0,0044 	   20,46 	        1,00e+004 	    0,997 	     -3,338 	
  E7 	 SYBR 	 Standard 	        6 	         0,0044 	   20,50 	        1,00e+004 	    0,997 	     -3,338 	
  E8 	 SYBR 	 Standard 	        6 	         0,0044 	   20,49 	        1,00e+004 	    0,997 	     -3,338 	
  E9 	 SYBR 	 Standard 	        7 	         0,0044 	   19,62 	        2,00e+004 	    0,997 	     -3,338 	
 E10 	 SYBR 	 Standard 	        7 	         0,0044 	   19,52 	        2,00e+004 	    0,997 	     -3,338 	
 E11 	 SYBR 	 Standard 	        7 	         0,0044 	   19,64 	        2,00e+004 	    0,997 	     -3,338 	
 E12 	 SYBR 	 Standard 	        7 	         0,0044 	   19,66 	        2,00e+004 	    0,997 	     -3,338 	
  F1 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,61 	       4,765e+003 	    0,997 	     -3,338 	
  F2 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,35 	       5,696e+003 	    0,997 	     -3,338 	
  F3 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,41 	       5,453e+003 	    0,997 	     -3,338 	
  F4 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,35 	       5,670e+003 	    0,997 	     -3,338 	
  F5 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,50 	       5,117e+003 	    0,997 	     -3,338 	
  F6 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,41 	       5,473e+003 	    0,997 	     -3,338 	
  F7 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,48 	       5,206e+003 	    0,997 	     -3,338 	
  F8 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,43 	       5,392e+003 	    0,997 	     -3,338 	
  F9 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,56 	       4,938e+003 	    0,997 	     -3,338 	
 F10 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,48 	       5,202e+003 	    0,997 	     -3,338 	
 F11 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,51 	       5,103e+003 	    0,997 	     -3,338 	
 F12 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,63 	       4,685e+003 	    0,997 	     -3,338 	
  G1 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,63 	       4,674e+003 	    0,997 	     -3,338 	
  G2 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,47 	       5,226e+003 	    0,997 	     -3,338 	
  G3 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,59 	       4,833e+003 	    0,997 	     -3,338 	
  G4 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,48 	       5,219e+003 	    0,997 	     -3,338 	
  G5 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,55 	       4,966e+003 	    0,997 	     -3,338 	
  G6 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,53 	       5,009e+003 	    0,997 	     -3,338 	
  G7 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,58 	       4,857e+003 	    0,997 	     -3,338 	
  G8 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,57 	       4,876e+003 	    0,997 	     -3,338 	
  G9 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,54 	       4,997e+003 	    0,997 	     -3,338 	
 G10 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,56 	       4,907e+003 	    0,997 	     -3,338 	
 G11 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,67 	       4,567e+003 	    0,997 	     -3,338 	
 G12 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,65 	       4,610e+003 	    0,997 	     -3,338 	
  H1 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,82 	       4,105e+003 	    0,997 	     -3,338 	
  H2 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,52 	       5,057e+003 	    0,997 	     -3,338 	
  H3 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,78 	       4,225e+003 	    0,997 	     -3,338 	
  H4 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,65 	       4,632e+003 	    0,997 	     -3,338 	
  H5 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,64 	       4,658e+003 	    0,997 	     -3,338 	
  H6 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,70 	       4,459e+003 	    0,997 	     -3,338 	
  H7 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,74 	       4,354e+003 	    0,997 	     -3,338 	
  H8 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,74 	       4,342e+003 	    0,997 	     -3,338 	
  H9 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,60 	       4,799e+003 	    0,997 	     -3,338 	
 H10 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,68 	       4,531e+003 	    0,997 	     -3,338 	
 H11 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,64 	       4,670e+003 	    0,997 	     -3,338 	
 H12 	 SYBR 	  Unknown 	        8 	         0,0044 	   21,89 	       3,911e+003 	    0,997 	     -3,338 	
